INT	STRING
ID	×Ö·û´®$1$
0	Các hÕ ðã b¸ %s giªt chªt
1	Các hÕ giªt chªt %s, vì h¡n giªt ngß¶i quá nhi«u, chu¯c l¤y sñ tr×ng phÕt. Trang b¸ trên ngß¶i h¡n b¸ r½i · g¥n ðây, chú ý tìm kiªm!
2	@*;SrvMsg;GLD:Thß½ng nhân b±n bang #{_INFOUSR%s} trong lúc làm nhi®m vø Thß½ng nhân, không may b¸#{_INFOUSR%s} ngß¶i cüa bang hµi #G[%s]#Wcß¾p giªt, s¯ ti«n#{_MONEY%d} cüa ngân phiªu và s¯ thß½ng ph¦m ð«u b¸ m¤t, th§t khiªn ngß¶i ta khó ch¸u.
3	@*;SrvMsg;GLD:Thß½ng nhân cüa b±n bang #{_INFOUSR%s} trong lúc tiªn thành nhi®m vø thß½ng nhân, không may b¸ #{_INFOUSR%s} giªt. Giá tr¸ ngân phiªu và thß½ng ph¦m cüa #{_MONEY%d} ðã m¤t, 
4	Không rõ t× ðâu công kích, các hÕ hi®n trong trÕng thái phòng v®!
5	V§t ph¦m ðã b¸ khóa, không th¬ giám ð¸nh
6	Quay lÕi bäng mua s¡m
7	Tay näi
8	Ðang m®t, không th¬ nh§n nhi®m vø
9	Các hÕ ðã gØi l¶i quyªt ð¤u, ch¶ ð¯i phß½ng h°i âm
10	#RKhi giá tr¸ sát khí l¾n h½n ho£c b¢ng 10 s¨ b¸ bÑc vào ÐÕi Lao
11	Nh¸
12	Tam
13	B¯n
14	Nåm
15	Sáu
16	Chi 
17	Công nång cüa nhân v§t ðã h°i phøc, ð« ngh¸ tñ giác tuân thü quy t¡c trò ch½i, chúc các hÕ vui vë.
18	#YR¤t xin l²i phäi thông báo v¾i các hÕ! B·i vì %s cüa các hÕ là #B[%s]#Y ðã quá th¶i hÕn nên b¸ h® th¯ng xóa bö.
19	Trong bao ðÕo cø
20	Trong bao tài li®u
21	Trên ngß¶i
22	Trong ngân hàng
23	Máy chü không phän h°i thông tin
24	Máy chü ðã ð¥y
25	Các hÕ ðang chuy¬n ðªn 
26	Các hÕ c¥n phäi di chuy¬n m¾i chuy¬n ðßþc
27	Các hÕ ðang sØ døng chß½ng trình ngoài, không th¬ v§n chuy¬n toàn cänh!
28	Các hÕ b¸ hÕng chª tñ do, không th¬ v§n chuy¬n, %d phút sau h°i phøc!
29	Không th¬ sØ døng møc tiêu tình hu¯ng
30	Không th¬ sØ døng møc tiêu thành th¸ 
31	Lßþng ngß¶i · máy chü ðã ð¥y
32	SÑc ch¸u ðñng cüa máy chü quá cao
33	Møc tiêu toàn cänh không th¬ hß·ng Ñng
34	Dung nÕp cüa Ngân phiªu này ðã ðÕt ðªn mÑc thßþng hÕn #{_MONEY%d}. 
35	Ð° ð® %s cüa các hÕ ðã c¯ng hiªn cho các hÕ %d ði¬m kinh nghi®m, m¶i nh§n n½i ngß¶i gi¾i thi®u bái sß. 
36	Chúc m×ng các hÕ, hþp thành thành công, ngµ tính Trân thú cüa các hÕ +1
37	#W#{_INFOUSR%s}#c00FFFFträi qua nhæng c¯ g¡ng, ðã nâng cao ngµ tính cüa#{_INFOMSG%s}lên#Y%d#c00FFFF, làm cho tß ch¤t cüa trân thú ðßþc nâng cao.
38	Hþp thành th¤t bÕi, ngµ tính cüa Trân thú là %d
39	ChÑc nång trò chuy®n cüa các hÕ ðã h°i phøc, xin tñ giác tuân thü theo quy t¡c cüa trò ch½i, chúc các hÕ vui vë!
40	Các hÕ c¥n · trong ngøc %d phút, và kh¤u tr× ði t¤t cä kinh nghi®m thi®n th¶i nh§n ðßþc!
41	Các hÕ c¥n · trong ngøc %d phút, 
42	Các hÕ ðã b¸ nghi nh¾ tr÷ng án, trß¾c 3 l¥n các hÕ có th¬ thông qua lao ð¥u tñ do ra ngoài!
43	#{_INFOUSR%s}#Y ðang thåm dò thông tin v« trang b¸ và Trân thú cüa các hÕ.
44	Xin gia tång tr× ð® th¤t bän tâm pháp ra t¤t cä tâm pháp ðÕt ðªn c¤p 80. 
45	#cffffcc Chúc m×ng các hÕ, ð® tØ cüa các hÕ#W%s#cffffcc ðã thång lên#G%d c¤p#cffffcc. Nhßng do ðµ häo hæu giæa 2 ngß¶i là#G0#cffffcc, không th¬ nh§n ph¥n thß·ng khi ð° ð® thång c¤p, xin hãy quan tâm ð° ð® cüa các hÕ nhi«u h½n.
46	Ðã gia nh§p bang phái c¤p %d
47	Bang phái gia nh§p là bang phái c¤p %d, tr× mµt nØa ði¬m thß·ng kinh nghi®m. 
48	Không gia nh§p bang phái, tr× mµt nØa ði¬m thß·ng kinh nghi®m.
49	T¯t 
50	Thß¶ng
51	T®
