INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
index	class	quality	Type	GemIndex	×ÊÔ´±àºÅ	ÊÊÓ¦¹æÔò	Ãû³Æ$1$	ËµÃ÷ÐÅÏ¢$1$	»ù±¾¼Û¸ñ	³öÊÛ¼Û¸ñ	Ôö¼ÓHPµÄÉÏÏÞ	°Ù·Ö±ÈÔö¼ÓHPµÄÉÏÏÞ	¼Ó¿ìHPµÄ»Ø¸´ËÙ¶È	Ôö¼ÓMPµÄÉÏÏÞ	°Ù·Ö±ÈÔö¼ÓMPµÄÉÏÏÞ	¼Ó¿ìMPµÄ»Ø¸´ËÙ¶È	±ù¹¥»÷	±ùµÖ¿¹	¼õÉÙ±ù¶³³Ù»ºÊ±¼ä	»ð¹¥»÷	»ðµÖ¿¹	¼õÉÙ»ðÉÕ³ÖÐøÊ±¼ä	Ðþ¹¥»÷	ÐþµÖ¿¹	¼õÉÙµç»÷Ñ£ÔÎÊ±¼ä	¶¾¹¥»÷	¶¾µÖ¿¹	¼õÉÙÖÐ¶¾Ê±¼ä	°´°Ù·Ö±ÈµÖÏûËùÓÐÊôÐÔ¹¥»÷	ÎïÀí¹¥»÷	°´°Ù·Ö±ÈÔö¼ÓÎïÀí¹¥»÷	¶Ô×°±¸»ù´¡ÎïÀí¹¥»÷°Ù·Ö±È¼Ó³É	ÎïÀí·ÀÓù	°´°Ù·Ö±ÈÔö¼ÓÎïÀí·ÀÓù	¶Ô×°±¸»ù´¡ÎïÀí·ÀÓù°Ù·Ö±È¼Ó³É	°´°Ù·Ö±ÈµÖÏûÎïÀíÉËº¦	Ä§·¨¹¥»÷	°´°Ù·Ö±ÈÔö¼ÓÄ§·¨¹¥»÷	¶Ô×°±¸»ù´¡Ä§·¨¹¥»÷°Ù·Ö±È¼Ó³É	Ä§·¨·ÀÓù	°´°Ù·Ö±ÈÔö¼ÓÄ§·¨·ÀÓù	¶Ô×°±¸»ù´¡Ä§·¨·ÀÓù°Ù·Ö±È¼Ó³É	°´°Ù·Ö±ÈµÖÏûÄ§·¨ÉËº¦	¹¥»÷ËÙ¶È(Á½´Î¹¥»÷¼ä¸ôÊ±¼ä)	Ä§·¨ÀäÈ´ËÙ¶È	ÃüÖÐ	ÉÁ±Ü	»áÐÄÒ»»÷£¨Ë«±¶¹¥»÷£©µÄ°Ù·Ö±È	ÎÞÊÓ¶Ô·½·ÀÓù±ÈÂÊ	ÒÆ¶¯ËÙ¶È°Ù·Ö±È	ÉËº¦·´Éä	ÉËº¦ÓÉÄÚÁ¦µÖÏû	Á¦Á¿	ÁéÆø	ÌåÖÊ	¶¨Á¦	Éí·¨	ÎòÐÔ	Ôö¼ÓËùÓÐµÄÈËÎïÒ»¼¶ÊôÐÔ	ÉúÃüÍµÈ¡	ÄÚÁ¦ÍµÈ¡	Ôö¼ÓÄ³¸öÄ§·¨µÈ¼¶	Ôö¼ÓËùÓÐÄ§·¨µÈ¼¶	ÌØÊâÄ§·¨·¢¶¯¸ÅÂÊ	½µµÍÄ¿±ê±ùµÖ¿¹	½µµÍÄ¿±ê»ðµÖ¿¹	½µµÍÄ¿±êÐþµÖ¿¹	½µµÍÄ¿±ê¶¾µÖ¿¹	»ù´¡ÎïÀí¹¥»÷	»ù´¡Ä§·¨¹¥»÷	»ù´¡ÃüÖÐ	»ù´¡ÎïÀí·ÀÓù	»ù´¡Ä§·¨·ÀÓù	»ù´¡ÉÁ±Ü	"ÑÕÉ«Öµ(R,G,B,A) "	ÀàÐÍÃèÊö$1$	ÌØÐ§Ë÷Òý	ÑÕÉ«	ÊÇ·ñ¹ã²¥
50101001	5	1	1	1	Gem1_2_4	1	Miêu Nhãn ThÕch (c¤p 1)	"Bäo thÕch nhìn gi¯ng m¡t mèo, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch hy v÷ng"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF09	Bäo ThÕch Hy V÷ng	1	2004	1
50101002	5	1	1	2	Gem1_1_1	1	H± Nhãn ThÕch (c¤p 1)	"Bäo thÕch nhìn gi¯ng m£t h±, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch hy v÷ng"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Hy V÷ng	2	2004	1
50102001	5	1	2	1	Gem1_1_3	1	Hoàng Tinh ThÕch (c¤p 1)	"Tinh thÕch màu vàng, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1Bäo ThÕch Ðiêu Kh¡c Phù c¤p 1#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	3	2004	1
50102002	5	1	2	2	Gem1_1_4	1	Lam Tinh ThÕch (c¤p 1)	"Tinh thÕch xanh lam, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1c¤p 1Bäo ThÕch Ðiêu Kh¡c Phù#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p."	100000	1000	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	4	2004	1
50102003	5	1	2	3	Gem1_1_5	1	H°ng Tinh ThÕch (c¤p 1)	"Tinh thÕch màu ðö, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1c¤p 1Bäo ThÕch Ðiêu Kh¡c Phù#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	5	2004	1
50102004	5	1	2	4	Gem1_1_6	1	Løc Tinh ThÕch (c¤p 1)	"Tinh thÕch xanh lá, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1c¤p 1Bäo ThÕch Ðiêu Kh¡c Phù#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	6	2004	1
50102005	5	1	2	5	Gem1_2_5	1	Thu¥n t¸nh hoàng tinh thÕch (c¤p 1)	"Thu¥n T¸nh Hoàng Tinh ThÕch, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#r#cff9900 bäo thÕch ðã ðiêu kh¡c qua không th¬ ðiêu kh¡c lÕi.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p.#rÐªn #GThành Th¸ Bang Hµi#W làm #Gnhi®m vø Phát tri¬n#W, #Gnhi®m vø Th¸ T§p#W, #Gnhi®m vø Công trình#W, có th¬ nh§n ðßþc #GBäo ThÕch Dung Luy®n Phù#W."	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	14	2004	1
50102006	5	1	2	6	Gem1_2_9	1	Thu¥n t¸nh lam tinh thÕch (c¤p 1)	"Thu¥n T¸nh Lam Tinh ThÕch, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#r#cff9900 bäo thÕch ðã ðiêu kh¡c qua không th¬ ðiêu kh¡c lÕi.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p.#rÐªn #GThành Th¸ Bang Hµi#W làm #Gnhi®m vø Phát tri¬n#W, #Gnhi®m vø Th¸ T§p#W, #Gnhi®m vø Công trình#W, có th¬ nh§n ðßþc #GBäo ThÕch Dung Luy®n Phù#W."	300000	2000	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	15	2004	1
50102007	5	1	2	7	Gem1_2_13	1	Thu¥n t¸nh h°ng tinh thÕch (c¤p 1)	"Thu¥n T¸nh H°ng Tinh ThÕch, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#r#cff9900 bäo thÕch ðã ðiêu kh¡c qua không th¬ ðiêu kh¡c lÕi.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p.#rÐªn #GThành Th¸ Bang Hµi#W làm #Gnhi®m vø Phát tri¬n#W, #Gnhi®m vø Th¸ T§p#W, #Gnhi®m vø Công trình#W, có th¬ nh§n ðßþc #GBäo ThÕch Dung Luy®n Phù#W."	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	16	2004	1
